Вера Болеславовна Щукина;Углич;пер. Базарный, д. 6;Неофарм;Антрополог;+7 (890) 753-23-83;fkosheleva@hotmail.com;1987-04-19;190794
Мартьян Викентьевич Калинин;Муравленко;алл. Минская, д. 29 стр. 97;Ситибанк;Инженер-гидравлик;82163565352;ippolit_78@mail.ru;1995-08-14;69471
Фомичева Вероника Мироновна;Коломна;наб. О.Кошевого, д. 49 к. 382;Татэнерго;Животновод;+7 (914) 627-81-33;smirnovvsevolod@rambler.ru;1960-05-13;123743
Одинцов Богдан Димитриевич;Дивногорск;бул. Нефтяников, д. 3 стр. 4;ТЦ Кунцево Лимитед;Инженер-энергетик;+73052057543;andronik90@rambler.ru;1959-08-30;53592
Марина Федоровна Матвеева;Хатанга;наб. Машиностроителей, д. 23 стр. 827;Интер РАО;Дизайнер;+7 (556) 062-5134;ljubomir1978@rambler.ru;1980-09-13;23847
Пестов Аполлон Арсенович;Петушки;алл. Серафимовича, д. 46 стр. 2;Трансмашхолдинг;Трейдер;8 (368) 323-9276;uljan_17@gmail.com;1979-02-04;71257
Елисеева Ангелина Богдановна;Богучар;ул. Надежды, д. 670 к. 41;Автодом;Промышленный альпинист;+7 (050) 422-7651;lukija_1983@hotmail.com;1956-08-23;39346
Рогов Алексей Елисеевич;Теберда;алл. Леонова, д. 3;Казаньоргсинтез;Финансист;+7 (359) 115-9576;longin_61@gmail.com;1977-08-17;110972
Лаврентьева Елена Оскаровна;Сасово;наб. 40 лет Октября, д. 233 к. 948;ТЭК Мосэнерго;Киномеханик;+71183346434;anzhela_31@yahoo.com;1993-10-26;166407
Алевтина Захаровна Горбачева;Орехово-Зуево;бул. Хвойный, д. 5 к. 3/7;ГК Агро-Белогорье;Следователь;+7 323 465 51 94;evdokimovaolga@hotmail.com;1987-10-24;70909
Архип Якубович Фомичев;Костомукша;пер. О.Кошевого, д. 75;Банк Санкт-Петербург;Андролог;8 (974) 501-7122;ereme_35@yandex.ru;1958-07-31;136388
Евсеева Алевтина Ждановна;Владимир;наб. Щорса, д. 50;АФК Система;Вокалист;+76547404282;erofe_20@gmail.com;2000-10-26;150669
Михайлов Никодим Феликсович;Ялуторовск;наб. Новоселов, д. 2 к. 4/2;Славянск Эко;Инженер-системотехник;+7 739 324 42 94;artemmiheev@yandex.ru;1966-08-10;128904
Глафира Федоровна Баранова;Оса;ул. Привокзальная, д. 9/5 к. 40;Росатом;Трансфузиолог;+7 (226) 219-7047;polikarp_44@hotmail.com;1967-05-23;101957
Агафья Львовна Кондратьева;Барнаул;бул. Сплавный, д. 155 к. 6;ДСК Автобан;Телеграфист;86048793343;orehovasofija@gmail.com;1952-03-08;166293
Титов Максимильян Тимурович;Ейск;бул. Харьковский, д. 6 стр. 431;Мечел;Нотариус;+7 994 712 90 03;evstafi_1976@gmail.com;1983-08-04;84291
Ратмир Ермолаевич Мамонтов;Пышма;наб. Энергетическая, д. 1/9 к. 49;Почта России;Криптозоолог;+7 (688) 982-60-11;belovereme@mail.ru;1978-01-22;30763
Аксенов Фадей Трифонович;Борзя;пер. Дзержинского, д. 5;Нестле Россия (Nestle);Авиатехник;+7 (855) 510-17-32;rogovaevpraksija@yahoo.com;1987-07-30;49415
Журавлев Будимир Теймуразович;Курильск;наб. Авиационная, д. 60;Авиакомпания ЮТэйр;Шлифовщик;+7 (019) 597-95-90;lazar_1972@mail.ru;1964-09-19;149920
Юдин Филимон Афанасьевич;Андреаполь;алл. Прудная, д. 380 к. 48;Ачимгаз;Верстальщик;+7 652 285 50 76;orest03@hotmail.com;1991-02-13;31184
Анна Борисовна Журавлева;Славянск-на-Кубани;наб. Приморская, д. 29 стр. 27;Аэрофлот — Российские авиалинии;Грузчик;+7 (005) 490-8742;luchezar2003@yandex.ru;2000-09-22;157495
Вадим Антонович Сергеев;Пятигорск;пр. Ульяновский, д. 8;Юнилевер Русь (Unilever);Доярка;+77923770869;larisa_1999@hotmail.com;1975-08-26;102439
Кириллова Надежда Макаровна;Джубга;ул. Бажова, д. 431 стр. 2;Камский кабель;Иконописец;83840312544;lobanovaoksana@yandex.ru;1978-07-17;177022
Артем Федосеевич Щукин;Тобольск;бул. Просторный, д. 1/2 стр. 2;Макдоналдc (McDonald`s);Химик-технолог;8 473 973 8064;ernest75@yahoo.com;1951-07-04;112884
Баранова Прасковья Григорьевна;Балашов;пр. Коммунаров, д. 93 к. 16;Акрон;Балерина;8 (458) 543-8183;jakubvolkov@yahoo.com;1972-06-29;187704
Валерий Витальевич Зайцев;Северо-Курильск;наб. 50 лет ВЛКСМ, д. 31;Росбанк (Societe General);Гастроэнтеролог;85778003212;vinogradovratibor@yandex.ru;1977-04-07;153692
Прасковья Макаровна Самойлова;Красноселькуп;ул. Западная, д. 6/7 к. 2;Стройсервис;Геодезист;+7 (748) 855-3948;markovadrian@rambler.ru;1977-01-25;161215
Наталья Львовна Панова;Эльбрус;бул. Чехова, д. 934;Фармперспектива;Нотариус;8 803 685 11 30;ljubosmislnazarov@mail.ru;1971-04-11;115055
Кузьма Вячеславович Воробьев;Кинешма;ш. Луначарского, д. 491;Детский мир;Налоговый инспектор;+7 012 809 9169;veniamin1989@hotmail.com;1993-10-06;174850
Панфилова Алина Ефимовна;Элиста;алл. Иркутская, д. 251;Агентство по страхованию вкладов (АСВ);Логопед;8 (435) 517-9550;petuhovaraisa@rambler.ru;1956-10-14;35353
Таисия Мироновна Константинова;Игнашино;алл. Леваневского, д. 7/4 к. 888;САФМАР;Нотариус;84204426579;usoloveva@yandex.ru;1962-03-07;134076
Лебедев Милен Димитриевич;Гдов;ш. Ясное, д. 87;Сургутнефтегаз;Радист;+7 863 651 83 86;karpovustin@rambler.ru;1991-10-21;79951
Терентьев Пантелеймон Игнатьевич;Ессентуки;ш. Котовского, д. 90;Монетка;Врач скорой помощи;80044146827;sokratturov@rambler.ru;1953-11-04;75772
Александров Мефодий Артёмович;Цимлянск;пр. Высокий, д. 8;171 Меридиан;Снабженец;8 (746) 802-3445;kirill74@yandex.ru;1977-09-28;177411
Евдокия Кирилловна Власова;Медногорск;наб. Зеленая, д. 7 стр. 688;Южуралзолото ГК;Бортпроводник/стюард;+7 833 623 29 69;foma2008@gmail.com;1996-06-30;187594
Харлампий Дмитриевич Самойлов;Орехово-Зуево;наб. Плеханова, д. 897 стр. 1;ЛУКОЙЛ;Типограф;+7 (816) 287-71-40;nnazarova@yahoo.com;1952-01-05;32951
г-жа Королева Агата Петровна;Челябинск;ш. Баумана, д. 2/7;Азур Эйр;Агроном по защите растений;8 476 944 1753;vsevolodmakarov@mail.ru;2000-06-17;164863
Белоусова Дарья Харитоновна;Ясный (Оренб.);пр. Сосновый, д. 1/8 стр. 4;Концерн Автоматика;Продавец;+7 718 938 89 78;nikitingrigori@mail.ru;1950-11-28;175844
Зимина Олимпиада Юльевна;Меренга;ул. Угловая, д. 71 стр. 8/8;Сибирский антрацит;Парикмахер;8 (244) 421-9009;samsonfedotov@yahoo.com;1983-04-12;158040
тов. Гусева Алла Семеновна;Видное;бул. Юности, д. 35;Группа Агат;Техник;+76105623942;gennadi1987@hotmail.com;1963-08-30;182418
Герасимова Екатерина Аскольдовна;Фатеж;ул. Тамбовская, д. 1 к. 2/4;Совкомбанк;Горничная;+7 (639) 649-42-32;subbotinkasjan@hotmail.com;1973-01-02;58759
Боброва Наина Юрьевна;Каргополь;пр. Лермонтова, д. 285 к. 570;Титан;Огнемётчик;+7 (423) 166-4599;hristofor_23@mail.ru;1973-11-15;185335
Ипатий Жанович Комаров;Екатеринбург;бул. Мусы Джалиля, д. 79 к. 56;ГК ТНС энерго;Библиотековед;8 (523) 817-3475;terentevmakar@mail.ru;2001-01-30;163132
Капустин Афанасий Егорович;Зеленоград;алл. Интернациональная, д. 6 стр. 13;Ягуар ленд ровер;Кондитер;+7 (756) 010-7131;shcherbakovselivan@yandex.ru;1952-10-12;88528
Романов Осип Валентинович;Барнаул;пр. Звездный, д. 3;Тева (Teva);Военный юрист;+7 (061) 416-17-64;fominaglafira@gmail.com;1988-05-31;175288
Гостомысл Фокич Степанов;Певек;пер. Полтавский, д. 7/6;Восток-Запад;Жиловщик/Обвальщик;+7 (291) 335-8940;viktorponomarev@rambler.ru;1951-11-20;108879
Елена Михайловна Лапина;Амурск;алл. Учительская, д. 4 к. 5;Архангельский ЦБК;Автогонщик;8 792 469 79 21;jmuraveva@gmail.com;1983-12-21;56594
Коновалов Ипат Гордеевич;Цимлянск;наб. Свердлова, д. 456 к. 7/2;НК Дулисьма;Столяр-краснодеревщик;+7 (718) 515-67-07;nekrasovlazar@rambler.ru;1954-03-02;28461
Святополк Яковлевич Зуев;Мичуринск;пр. Магистральный, д. 65 стр. 22;Самсунг Электроникс Рус Калуга (Samsung);Агроном-почвовед;+7 (276) 009-89-92;maslovazinaida@yandex.ru;1966-06-19;95277
Маслова Клавдия Юльевна;Цимлянск;бул. Речной, д. 4 к. 989;Байер;Аналитик;+7 005 315 09 47;kuzma1991@yandex.ru;1990-12-22;174048
Нестеров Милован Еремеевич;Биробиджан;пр. Украинский, д. 9;Мосметрострой;Шлифовщик;+7 (325) 103-8312;vorobevaanzhelika@yandex.ru;1958-10-26;26095
Мария Юрьевна Жданова;Таштагол;алл. Горная, д. 85;Еврохим;Оператор РЛС;89225481821;popovfirs@hotmail.com;1957-10-13;138921
Зиновьев Лаврентий Юлианович;Шаховская;пер. Вольный, д. 4 стр. 3/6;ФортеИнвест;Травматолог;88281014183;haritonovataisija@yandex.ru;1963-08-09;26332
Силантий Августович Самойлов;Шатки;наб. Гастелло, д. 747;ГК Автомир;Фрезеровщик;+7 (521) 875-51-24;sidor_79@yahoo.com;1991-04-01;47011
Григорий Якубович Мельников;Усть-Катав;пр. 1 Мая, д. 96 стр. 7;ВГТРК;Телефонист;8 (407) 186-00-42;gerasim_1998@mail.ru;1958-07-20;79808
Меркушева Лариса Ивановна;Воскресенск;ш. Матросова, д. 7/5;Втормет;Каменотёс;+7 578 201 03 09;popovsvetozar@hotmail.com;1993-02-06;121761
Тамара Эльдаровна Некрасова;Миасс;пр. Родниковый, д. 6/6;Русагро;Военный полицейский;+7 (764) 564-50-75;sokrat_1986@hotmail.com;1960-11-17;177684
Гордей Герасимович Фомичев;Невьянск;наб. Чапаева, д. 128;Группа Магнезит;Аллерголог;+70949442535;doroninboleslav@rambler.ru;1953-07-23;195560
Ирина Семеновна Ефремова;Рубцовск;бул. Космонавтов, д. 662 стр. 79;Магнолия;Канонир;8 (803) 409-96-56;mihalovavgust@gmail.com;1984-02-21;87887
Симонов Милий Елизарович;Алапаевск;бул. Крупской, д. 296 стр. 624;Верисел-трейдинг;Сапёр;+7 259 157 61 59;efrem2009@gmail.com;1984-10-23;29178
Ратибор Бориславович Лаврентьев;Котлас;пр. Строителей, д. 693 к. 8/2;Транслом;Военный переводчик;8 (513) 785-4087;vikenti_31@mail.ru;1998-06-04;23725
Никанор Геннадиевич Елисеев;Куртамыш;наб. Нагорная, д. 7 к. 6/7;Первый канал;Предприниматель;+7 225 866 23 12;fokinaevpraksija@gmail.com;1958-02-25;183329
Гусев Орест Эдгардович;Дудинка;ш. Мелиоративное, д. 94 к. 6/4;Полюс;Эксперт-криминалист;+7 (309) 095-41-43;marija1999@yandex.ru;2000-02-19;105407
Зимин Виссарион Жанович;Урус-Мартан;ш. Белорусское, д. 1/9 стр. 2/2;ПКФ ДиПОС;Снабженец;8 902 238 4261;averki1988@mail.ru;1983-04-04;119572
Федосий Харлампович Осипов;Кежма;ул. Почтовая, д. 6/3 стр. 2/1;Кордиант;Контент-менеджер;+77523624447;savva37@yahoo.com;1988-05-22;80783
Терентьева Ангелина Феликсовна;Северобайкальск;алл. Жданова, д. 6/3 стр. 925;СТД Петрович;Эндокринолог;88203070901;tjakushev@yandex.ru;2001-12-17;141019
Иванова Лидия Андреевна;Ангарск;алл. Добролюбова, д. 7 к. 4;Media Direction Group;Зоотехник;+7 (036) 196-7970;safonovhariton@rambler.ru;1981-06-08;29866
Ирина Филипповна Шарова;Колпашево;бул. Тукая, д. 9/9 к. 4/7;Северный ветер;Актуарий;8 681 944 37 63;turovandron@yandex.ru;1993-01-21;77013
г-н Бобров Геннадий Еремеевич;Устюжна;бул. Кутузова, д. 7;ТД Ункомтех;Программист;+7 (673) 963-5165;varfolome_03@yahoo.com;1998-01-18;126211
Галактион Ааронович Самойлов;Истра;ул. Хуторская, д. 19;Объединенная авиастроительная корпорация;Психотерапевт;+7 (517) 915-39-07;ermakovtrofim@rambler.ru;1964-09-10;36703
г-жа Лукина Татьяна Харитоновна;Балашов;алл. Кирова, д. 4/1 стр. 4/9;Салым Петролеум;Машинист локомотива;+7 248 091 6205;denisshilov@rambler.ru;1969-08-22;79686
Степанова Василиса Петровна;Ростов;бул. Королева, д. 1 стр. 9;Группа НПФ Благосостояние;Радиолог;+7 818 131 44 17;lora1994@hotmail.com;1979-06-06;101050
Ершов Мефодий Антонович;Сергиев Посад;ул. Красная, д. 3 стр. 55;Макдоналдc (McDonald`s);Торговый представитель;+7 (738) 165-11-39;olimpiada_65@rambler.ru;1995-03-16;177131
Дроздова Надежда Юльевна;Черусти;бул. Базарный, д. 58 стр. 8;Росатом;Фальцовщик;86407937546;afanasevaanna@yandex.ru;1995-10-30;24551
Майя Богдановна Сергеева;Эльбрус;ул. Нефтяников, д. 6 к. 5/4;Остин;Неонатолог;8 279 764 01 56;mstislavgorshkov@mail.ru;1993-04-23;152579
Андроник Зиновьевич Беляев;Пенза;ул. Крылова, д. 2;АльфаСтрахование;Профпатолог;+7 (453) 224-3065;orehovajulija@yahoo.com;1983-09-24;146144
Сафонов Леонтий Аксёнович;Печора;наб. Лазурная, д. 22;Камский кабель;Диктор;85302994818;agafon_1979@mail.ru;1972-09-01;25670
Полякова Ксения Наумовна;Владикавказ;ш. Дальнее, д. 1;Техкомпания Хуавэй (Huawei);Робототехник;+7 355 013 58 54;tretjakovazhanna@rambler.ru;1951-07-02;113250
Авдеева Фаина Александровна;Красноселькуп;ул. Монтажников, д. 9 к. 87;Ланит;Шорник;+7 (371) 804-05-18;eleonora_1970@rambler.ru;1986-06-13;93613
Элеонора Кузьминична Громова;Волоколамск;ш. Выгонное, д. 3;UCL Holding;Таксист;8 654 412 33 85;doroninkarp@yahoo.com;1995-04-03;102365
Пахомова Алевтина Болеславовна;Чебоксары;пр. Короткий, д. 84 стр. 7/3;Юг-Авто;Автослесарь;8 (855) 371-59-20;luchezar_59@mail.ru;1977-12-26;52148
Демид Адрианович Лебедев;Томпа;алл. Халтурина, д. 22;Группа Газфонд;Фальцовщик;8 274 107 8424;svjatopolk39@rambler.ru;1987-09-09;32987
Федотов Галактион Арсеньевич;Сосьва (Хант.);ш. Осипенко, д. 95 к. 45;ГК Великан;Предприниматель;84398056094;radislav_08@yahoo.com;1987-03-27;168532
Сократ Алексеевич Гуляев;Омск;пр. Верхний, д. 9 к. 7/7;Группа компаний МИЦ;Капитан судна;8 398 292 1386;ziminsilvestr@rambler.ru;1966-10-11;196204
Кудрявцев Онуфрий Исидорович;Зарайск;наб. Заводская, д. 903;Эбботт лэбораториз (Abbott Laboratories);Кредитный консультант;+72723332810;kira2015@yandex.ru;1975-09-04;142463
Жукова Лукия Валериевна;Талдом;пер. Минский, д. 47 стр. 27;ГК Эфко;Почтальон;89933184741;hristoforsamsonov@hotmail.com;1956-07-28;104433
